"","belong","name","city","district","lowsalary","highsalary","experience","degree","company","companyintroduction","companyfield","companyfinancial","companymembers","tags"
"2909","suanfagongchengshidata","算法工程师","北京","海淀区",13,26,"经验3-5年","本科","懂球帝","“五险一金；补充医疗；任性团建”","移动互联网,文化娱乐","C轮","150-500人","/数据挖掘/机器学习/"
"2910","suanfagongchengshidata","算法工程师","杭州","古荡",15,20,"经验1-3年","硕士","Club Factory","“世界级产品,海量数据,技术创新,技术成长快”","电子商务,移动互联网","C轮","150-500人","/数据挖掘/"
"2911","suanfagongchengshidata","算法工程师","上海","徐汇区",15,30,"经验应届毕业生","本科","字节跳动","“弹性工作，租房补贴，带薪休假”","移动互联网,数据服务","C轮","2000人以上","/算法/"
"2912","suanfagongchengshidata","算法工程师","北京","海淀区",20,40,"经验不限","本科","格灵深瞳","“扁平化管理,不定期团建,六险一金”","企业服务,数据服务","C轮","150-500人","/技能培训/节日礼物/玩乐项目多/岗位晋升/"
"2913","suanfagongchengshidata","算法工程师（用户画像方向）","杭州","西溪",15,30,"经验1-3年","本科","魔蝎科技","“年底多薪,做五休二,全额公积金,全员MAC”","数据服务,移动互联网","B轮","50-150人","/建模/NLP/"
"2914","suanfagongchengshidata","算法工程师（计算机）","深圳","福田区",15,25,"经验不限","本科","晶泰科技","“福利待遇、硕博精英团队、弹性工作”","企业服务,医疗健康","B轮","50-150人","/后端/C++/Python/"
"2915","suanfagongchengshidata","算法工程师","深圳","南山区",20,40,"经验3-5年","本科","新分享科技服务","“金融科技,腾讯战投,精英团队”","金融","B轮","50-150人","/数据挖掘/"
"2916","suanfagongchengshidata","算法工程师","济南","高新区",6,10,"经验1-3年","本科","齐鲁晚报","“互联网,大数据”","移动互联网,数据服务","不需要融资","150-500人","/数据挖掘/"
"2917","suanfagongchengshidata","算法工程师","北京","中关村",15,20,"经验应届毕业生","本科","百融金服","“福利好,环境好,扁平化,领导是大牛”","金融,数据服务","C轮","500-2000人","/机器学习/NLP/搜索/推荐/"
"2918","suanfagongchengshidata","算法工程师","北京","和平里",18,36,"经验3-5年","本科","轻松筹","“技术大咖,气氛好,弹性工作,交通便利”","移动互联网,金融","C轮","500-2000人","/机器学习/"
"2919","suanfagongchengshidata","算法工程师","苏州","独墅湖",15,25,"经验3-5年","本科","瑞翼","“五险一金、年终多薪、绩效奖金”","移动互联网","不需要融资","150-500人","/大数据/移动互联网/机器学习/深度学习/推荐/建模/"
"2920","suanfagongchengshidata","算法工程师（智能营销方向）","北京","朝阳区",35,70,"经验3-5年","本科","美团点评","“氛围好，发展空间大”","移动互联网,O2O","上市公司","2000人以上","/机器学习/人工智能/数据挖掘/"
"2921","suanfagongchengshidata","算法工程师","广州","石牌",20,40,"经验3-5年","本科","众聚互娱","“深度学习,图像处理”","硬件,游戏","A轮","50-150人","/人工智能/机器学习/深度学习/图像处理/"
"2922","suanfagongchengshidata","算法工程师","杭州","西溪",20,40,"经验3-5年","本科","天壤智能","“大牛导师,五险一金,带薪年假”","移动互联网,企业服务","A轮","50-150人","/深度学习/人工智能/数据挖掘/"
